[23:24:51] currSec: 24.809070, totSec: 250.500000, status: 1, state: 0
[23:24:52] currSec: 25.552109, totSec: 250.500000, status: 1, state: 0
[23:24:52] currSec: 25.923628, totSec: 250.500000, status: 1, state: 0
[23:24:53] currSec: 26.295147, totSec: 250.500000, status: 1, state: 0
[23:24:53] currSec: 27.038186, totSec: 250.500000, status: 1, state: 0
[23:24:54] currSec: 27.409705, totSec: 250.500000, status: 1, state: 0
[23:24:54] currSec: 27.781224, totSec: 250.500000, status: 1, state: 0
[23:24:55] currSec: 28.524263, totSec: 250.500000, status: 1, state: 0
[23:24:55] currSec: 28.895782, totSec: 250.500000, status: 1, state: 0
[23:24:56] currSec: 29.267302, totSec: 250.500000, status: 1, state: 0
[23:24:56] currSec: 30.010340, totSec: 250.500000, status: 1, state: 0
[23:24:57] currSec: 30.381859, totSec: 250.500000, status: 1, state: 0
[23:24:57] currSec: 30.753379, totSec: 250.500000, status: 1, state: 0
[23:24:58] currSec: 31.496417, totSec: 250.500000, status: 1, state: 0
[23:24:58] currSec: 31.867937, totSec: 250.500000, status: 1, state: 0
[23:24:59] currSec: 32.610975, totSec: 250.500000, status: 1, state: 0
[23:24:59] currSec: 32.982494, totSec: 250.500000, status: 1, state: 0
[23:25:00] currSec: 33.354014, totSec: 250.500000, status: 1, state: 0
[23:25:00] currSec: 34.097052, totSec: 250.500000, status: 1, state: 0
[23:25:01] currSec: 34.468571, totSec: 250.500000, status: 1, state: 0
[23:25:01] currSec: 34.840091, totSec: 250.500000, status: 1, state: 0
[23:25:02] currSec: 35.583129, totSec: 250.500000, status: 1, state: 0
[23:25:02] currSec: 35.954649, totSec: 250.500000, status: 1, state: 0
[23:25:03] currSec: 36.326168, totSec: 250.500000, status: 1, state: 0
[23:25:03] currSec: 37.069206, totSec: 250.500000, status: 1, state: 0
[23:25:04] currSec: 37.440726, totSec: 250.500000, status: 1, state: 0
[23:25:04] currSec: 37.812245, totSec: 250.500000, status: 1, state: 0
[23:25:05] currSec: 38.555283, totSec: 250.500000, status: 1, state: 0
[23:25:05] currSec: 38.926803, totSec: 250.500000, status: 1, state: 0
[23:25:06] currSec: 39.298322, totSec: 250.500000, status: 1, state: 0
[23:25:06] currSec: 40.041361, totSec: 250.500000, status: 1, state: 0
[23:25:07] currSec: 40.412880, totSec: 250.500000, status: 1, state: 0
[23:25:07] currSec: 40.784399, totSec: 250.500000, status: 1, state: 0
[23:25:08] currSec: 41.527438, totSec: 250.500000, status: 1, state: 0
[23:25:08] currSec: 41.898957, totSec: 250.500000, status: 1, state: 0
[23:25:09] currSec: 42.270476, totSec: 250.500000, status: 1, state: 0
[23:25:09] currSec: 43.013515, totSec: 250.500000, status: 1, state: 0
[23:25:10] currSec: 43.385034, totSec: 250.500000, status: 1, state: 0
[23:25:10] currSec: 44.128073, totSec: 250.500000, status: 1, state: 0
[23:25:11] currSec: 44.499592, totSec: 250.500000, status: 1, state: 0
[23:25:11] currSec: 44.871111, totSec: 250.500000, status: 1, state: 0
[23:25:12] currSec: 45.614150, totSec: 250.500000, status: 1, state: 0
[23:25:12] currSec: 45.985669, totSec: 250.500000, status: 1, state: 0
[23:25:13] currSec: 46.357188, totSec: 250.500000, status: 1, state: 0
